balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2012-04-09,BISA3,BROOKFIELD,20265,2012-03-13 19:03:16,2011-12-31,445.183757,2523.781,611.969,0.07347428624443,2604.32497845,5128.105978449999,0.11933626227143054,22
2012-04-09,DIRR3,DIRECIONAL,21350,2012-03-13 13:05:46,2011-12-31,153.244532,122.04,177.77,0.0866195701364982,1563.0942263999998,1685.1342263999998,0.10549308014458594,23
2012-04-09,ALPA4,ALPARGATAS,10456,2012-03-16 19:04:10,2011-12-31,353.456,-435.021,311.815,0.2099173174373913,5475.03344,5040.01244,0.06186790284985883,24
2012-04-09,LREN3,LOJAS RENNER,8133,2012-02-08 18:36:54,2011-12-31,122.821,259.898,472.633,0.2204767488459768,7724.21269,7984.11069,0.05919669933834547,25
2012-04-09,MAGG3,MAGNESITA SA,20842,2012-03-08 15:40:09,2011-12-31,291.981934,181.512,291.425,0.0678810330990642,1854.0852809,2035.5972809,0.14316436887317519,26
2012-04-09,MULT3,MULTIPLAN,20982,2012-03-14 15:07:55,2011-12-31,179.197214,10.285,394.899,1.1458475593403643,7594.3779293200005,7604.66292932,0.05192853433088472,27
2012-04-09,MGLU3,MAGAZ LUIZA,22470,2012-04-04 16:15:45,2011-12-31,186.494,463.261,213.66,0.1300634750222743,2208.08896,2671.34996,0.07998203275470504,28
2012-04-09,EVEN3,EVEN,20524,2012-03-27 20:10:51,2011-12-31,233.293408,977.548,280.707,0.0720318147939491,1658.71613088,2636.2641308800003,0.10647908785463707,29
2012-04-09,GOAU4,GERDAU MET,8656,2012-02-16 13:58:19,2011-12-31,412.681,10405.371,2868.471,0.0564857534496546,9140.88415,19546.255149999997,0.14675297022304554,30
2013-04-10,CSAN3,COSAN,19836,2012-05-31 00:22:35,2012-03-31,407.214,3397.908,4229.142,0.2216099763934872,18491.58774,21889.49574,0.19320417657094918,1
2013-04-10,ETER3,ETERNIT,5762,2013-03-15 16:57:06,2012-12-31,89.5,-15.64,155.553,0.2277066971266343,828.77,813.13,0.19130151390306593,2
2013-04-10,PTBL3,PORTOBELLO,13773,2013-03-28 07:22:06,2012-12-31,159.009,107.645,116.862,0.3288280460612984,855.4684199999999,963.1134199999999,0.12133773403344333,3
2013-04-10,BEEF3,MINERVA,20931,2013-03-20 21:26:37,2012-12-31,146.307556,1377.51,418.428,0.1295432394056337,1795.19371212,3172.70371212,0.13188373008219115,4
2013-04-10,IGTA3,IGUATEMI,20494,2013-03-19 18:35:18,2012-12-31,158.510978,559.914,365.094,1.620860873250237,4070.56191504,4630.47591504,0.07884589115649167,5
2013-04-10,KLBN4,KLABIN S/A,12653,2013-02-22 07:25:15,2012-12-31,917.683296,3277.715,1644.218,0.1317539476689148,13361.468789760002,16639.18378976,0.09881602491895522,6
2013-04-10,EMBR3,EMBRAER,20087,2013-03-12 20:48:13,2012-12-31,740.465,-639.621,1217.431,0.1294544046717394,13283.942100000002,12644.321100000003,0.0962828285023543,7
2013-04-10,SLED4,SARAIVA LIVR,10472,2013-03-21 17:49:52,2012-12-31,28.596,287.958,143.899,0.1182239765776127,895.3407599999999,1183.29876,0.12160834175132577,8
2013-04-10,FHER3,FER HERINGER,20621,2013-03-08 14:30:00,2012-12-31,48.471407,760.862,201.409,0.1078985543713828,597.16773424,1358.02973424,0.14830971290383077,9
2013-04-10,NATU3,NATURA,19550,2013-02-06 21:47:46,2012-12-31,431.239,681.457,1369.55,0.4547816059337255,21303.206599999998,21984.663599999996,0.06229569962580643,10
