cutoff_date,codneg,nomres,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2012-04-09,ODPV3,ODONTOPREV,2012-03-01 18:33:38,2011-12-31,177098264.0,-207831000.0,179285000.0,0.3223338709010462,1765669692.0800002,1973500692.0800002,0.0908461804546113,10.0
2012-04-09,TAMM4,TAM S/A,2012-02-13 09:01:48,2011-12-31,156206000.0,6829643000.0,1017885000.0,0.1136823701945204,6941794640.0,112151640.0,9.075970712510312,11.0
2012-04-09,CNFB4,CONFAB,2012-02-16 10:32:32,2011-12-31,406265816.0,-352838000.0,297393000.0,0.2576756485581867,2356341732.7999997,2709179732.7999997,0.10977234046138293,12.0
2012-04-09,MRVE3,MRV,2012-03-15 23:02:15,2011-12-31,482710000.0,1746510000.0,893023000.0,0.1648678441952228,6449005600.0,4702495600.0,0.18990405860241527,13.0
2012-04-09,VLID3,VALID,2012-03-21 17:56:17,2011-12-31,55750000.0,41894000.0,155710000.0,0.2855995187122618,1537027500.0,1495133500.0,0.10414454628967915,14.0
2012-04-09,GSHP3,GENERALSHOPP,2012-03-22 21:42:34,2011-12-31,50480600.0,350918000.0,85491000.0,0.1249811777536398,601223946.0,250305946.0,0.34154602144369356,15.0
2012-04-09,POMO4,MARCOPOLO,2012-02-28 08:05:25,2011-12-31,448450042.0,580316000.0,428482000.0,0.2445941564372351,4408263912.86,3827947912.8599997,0.11193516990148004,16.0
2012-04-09,BISA3,BROOKFIELD,2012-03-13 19:03:16,2011-12-31,445183757.0,2523781000.0,611969000.0,0.1104331200651083,2604324978.45,80543978.44999981,7.59794849691835,17.0
2012-04-09,HBOR3,HELBOR,2012-03-14 19:27:51,2011-12-31,65097000.0,539662000.0,236683000.0,0.1633812053249393,1830527640.0,1290865640.0,0.18335215739416535,18.0
2012-04-09,AUTM3,AUTOMETAL,2014-06-23 10:59:47,2011-12-31,125908000.0,-262426000.0,239791000.0,0.2609921775597077,2051041320.0,2313467320.0,0.10365004853407654,19.0
2012-04-09,CCRO3,CCR SA,2012-03-07 21:25:25,2011-12-31,1765587200.0,6184540000.0,2277019000.0,0.2422681514732536,26960516544.0,20775976544.0,0.10959865088303596,20.0
